[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,068] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,974] INFO | server connecting  the client | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionCreated(44)
[VAMS][2014-05-19 15:49:06,974] INFO | server to  the client is open ！ | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:49:06,974] DEBUG | Processing a MESSAGE_RECEIVED for session 7 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:49:06,974] INFO | server accept data is GET / HTTP/1.1 | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,974] INFO | server accept data is Accept: image/jpeg, application/x-ms-application, image/gif, application/xaml+xml, image/pjpeg, application/x-ms-xbap, application/vnd.ms-excel, application/vnd.ms-powerpoint, application/msword, */* | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server accept data is Accept-Language: zh-CN | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server accept data is User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.2; LBBROWSER) | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server accept data is Accept-Encoding: gzip, deflate | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server accept data is Host: 127.0.0.1:3305 | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server accept data is Connection: Keep-Alive | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server accept data is  | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
